name             bytes      op_a_level      op_b_level     op_a_attack     op_b_attack      op_a_decay        op_a_end      op_b_decay      op_a_delay      op_b_delay        op_a_trg        op_a_rst        op_b_trg        op_b_rst     phase_reset        op_b_end     op_b1_ratio     op_b2_ratio        feedback          detune            harm             mix      op_a_ratio      op_c_ratio  alg_ratio_slot        
FM INIT BD000      233              0*              0*              0*              0*              32            127*   ?100002080011               0              0*           1*=on           1*=on           1*=on           1*=on           1=off            127*          3=1.00          3=1.00              0*              0*               0            -64*         3*=1.00         3*=1.00  alg 1, ratio 1.00 (defaults)
FM INIT AAAAB      234              0*              0*              0*              0*              32            127*              32               0              0*           1*=on           1*=on           1*=on           1*=on          0*=all            127*          3=1.00          3=1.00              0*              0*               0            -64*         3*=1.00         3*=1.00  alg 1, ratio 1.00 (defaults)
FM INIT XYZQW      234              0*              0*              0*              0*              32            127*              32               0              0*           1*=on           1*=on           1*=on           1*=on          0*=all            127*          3=1.00          3=1.00              0*              0*               0            -64*         3*=1.00         3*=1.00  alg 1, ratio 1.00 (defaults)
FM INIT ABCABC     235              0*              0*              0*              0*              32            127*              32               0              0*           1*=on           1*=on           1*=on           1*=on          0*=all            127*          3=1.00          3=1.00              0*              0*               0            -64*         3*=1.00         3*=1.00  alg 1, ratio 1.00 (defaults)
FM INIT AB        233              0*              0*              0*              0*              32            127*              32               0              0*           1*=on           1*=on           1*=on           1*=on          0*=all            127*          3=1.00          3=1.00              0*              0*               0            -64*         3*=1.00         3*=1.00  alg 1, ratio 1.00 (defaults)
FM INIT A         227              0*              0*              0*              0*              32            127*              32               0              0*           1*=on           1*=on           1*=on           1*=on          0*=all            127*          3=1.00          3=1.00              0*              0*               0            -64*         3*=1.00         3*=1.00  alg 1, ratio 1.00 (defaults)
FM INIT A         232              0*              0*              0*              0*              32            127*              32               0              0*           1*=on           1*=on           1*=on           1*=on          0*=all            127*          3=1.00          3=1.00              0*              0*               0            -64*         3*=1.00         3*=1.00  alg 1, ratio 1.00 (defaults)
FM INIT AA002      236              0*              0*               2              0*              32            127*              32               0              0*           1*=on           1*=on           1*=on           1*=on          0*=all            127*          3=1.00          3=1.00              0*              0*               0            -64*         3*=1.00         3*=1.00  alg 1, ratio 1.00 (defaults)
FM INIT AA001      236              0*              0*               1              0*              32            127*              32              0*              0*           1*=on           1*=on           1*=on           1*=on          0*=all            127*          3=1.00          3=1.00              0*              0*               0            -64*         3*=1.00         3*=1.00  alg 1, ratio 1.00 (defaults)
FM INIT BA048      238              0*              0*              0*              48              32            127*             32*              0*              0*           1*=on           1*=on           1*=on           1*=on          0*=all            127*          3=1.00          3=1.00              0*              0*               0            -64*         3*=1.00         3*=1.00  alg 1, ratio 1.00 (defaults)
FM INIT BA064      237              0*              0*              0*   ?20007F4C0002              32            127*             32*              0*              0*           1*=on           1*=on           1*=on           1*=on          0*=all            127*          3=1.00          3=1.00              0*              0*               0            -64*         3*=1.00         3*=1.00  alg 1, ratio 1.00 (defaults)
FM INIT BA127      236              0*              0*              0*             127              32            127*             32*              0*              0*           1*=on           1*=on           1*=on           1*=on          0*=all            127*          3=1.00          3=1.00              0*              0*               0            -64*         3*=1.00         3*=1.00  alg 1, ratio 1.00 (defaults)
FM INIT AL084      237              84              0*              0*              0*              32            127*             32*              0*              0*           1*=on           1*=on           1*=on           1*=on          0*=all            127*          3=1.00          3=1.00              0*              0*               0            -64*         3*=1.00         3*=1.00  alg 1, ratio 1.00 (defaults)
FM INIT CR200      235              0*              0*              0*              0*              32            127*              32               0              0*           1*=on           1*=on           1*=on           1*=on          0*=all            127*          3=1.00          3=1.00              0*              0*               0            -64*         3*=1.00          4=2.00  ?1004380023           
FM INIT CR075      235              0*              0*              0*              0*              32            127*              32               0              0*           1*=on           1*=on           1*=on           1*=on          0*=all            127*          3=1.00          3=1.00              0*              0*               0            -64*         3*=1.00          2=0.75  ?1002380023           
FM INIT CR050      235              0*              0*              0*              0*              32            127*              32               0              0*           1*=on           1*=on           1*=on           1*=on          0*=all            127*         3*=1.00         3*=1.00              0*              0*              0*            -64*         3*=1.00   ?2800003A0033  ?003A003300           
FM INIT BL127      237              0*   ?20007F100000              0*              0*              32            127*             32*              0*              0*           1*=on           1*=on           1*=on           1*=on          0*=all            127*          3=1.00          3=1.00              0*              0*               0            -64*         3*=1.00         3*=1.00  alg 1, ratio 1.00 (defaults)
FM INIT BL064      237              0*   ?20007F100000              0*              0*              32            127*             32*              0*              0*           1*=on           1*=on           1*=on           1*=on          0*=all            127*          3=1.00          3=1.00              0*              0*               0            -64*         3*=1.00         3*=1.00  alg 1, ratio 1.00 (defaults)
FM INIT AL064      238   ?20007F460000              0*              0*              0*              32            127*             32*              0*              0*           1*=on           1*=on           1*=on           1*=on          0*=all            127*          3=1.00          3=1.00              0*              0*               0            -64*         3*=1.00         3*=1.00  alg 1, ratio 1.00 (defaults)
FM INIT AL065      237              65              0*              0*              0*              32            127*             32*              0*              0*           1*=on           1*=on           1*=on           1*=on          0*=all            127*          3=1.00          3=1.00              0*              0*               0            -64*         3*=1.00         3*=1.00  alg 1, ratio 1.00 (defaults)
FM INIT AL063      239   ?20007F001200              0*              0*              0*              32            127*             32*              0*              0*           1*=on           1*=on           1*=on           1*=on          0*=all            127*          3=1.00          3=1.00              0*              0*               0            -64*         3*=1.00         3*=1.00  alg 1, ratio 1.00 (defaults)
FM INIT 0         232              0*              0*              0*              0*              32            127*              32               0              0*           1*=on           1*=on           1*=on           1*=on          0*=all            127*          3=1.00          3=1.00              0*              0*               0            -64*         3*=1.00         3*=1.00  alg 1, ratio 1.00 (defaults)
FM INIT AE85       234              0*              0*              0*              0*              32              85             32*               0              0*           1*=on           1*=on           1*=on           1*=on          0*=all            127*          3=1.00          3=1.00              0*              0*               0            -64*         3*=1.00         3*=1.00  alg 1, ratio 1.00 (defaults)
FM INIT AE64       233              0*              0*              0*              0*              32   ?300002440031             32*              0*              0*           1*=on           1*=on           1*=on           1*=on          0*=all            127*          3=1.00          3=1.00              0*              0*               0            -64*         3*=1.00         3*=1.00  alg 1, ratio 1.00 (defaults)
FM INIT AE00       230              0*              0*              0*              0*              32               0             32*              0*              0*           1*=on           1*=on           1*=on           1*=on          0*=all            127*          3=1.00          3=1.00              0*              0*               0            -64*         3*=1.00         3*=1.00  alg 1, ratio 1.00 (defaults)
FM INIT AD23       234              0*              0*              0*              0*              23            127*              32               0              0*           1*=on           1*=on           1*=on           1*=on          0*=all            127*          3=1.00          3=1.00              0*              0*               0            -64*         3*=1.00         3*=1.00  alg 1, ratio 1.00 (defaults)
FM INIT AD64       234              0*              0*              0*              0*              64            127*              32               0              0*           1*=on           1*=on           1*=on           1*=on          0*=all            127*          3=1.00          3=1.00              0*              0*               0            -64*         3*=1.00         3*=1.00  alg 1, ratio 1.00 (defaults)
